Feature.name	Estimate	Std.Error	z.value	p.value	comparaison	padj	Condition	xrn4	xrn4_dne1	delta_prop	diff	Change	Degradation_Tag
AT3G13845.1	-0.353000415463274	0.0417614120797144	-8.45278925888486	0	xrn4_dne1 - xrn4	0	Seedling	0.967333406002471	0.954476978476432	0.0128564275260387	significant	decrease	Intact
AT3G17790.1	-0.754850610939023	0.166086584777298	-4.54492222807271	5.49555413797975e-06	xrn4_dne1 - xrn4	0.00191946440908955	Seedling	0.861379052149401	0.711088633882751	0.15029041826665	significant	decrease	Intact
AT3G44150.1	-0.585602546156697	0.148412658393163	-3.94577223059615	7.95432006619468e-05	xrn4_dne1 - xrn4	0.0175150669457578	Seedling	0.838694463431305	0.747135734635735	0.0915587287955709	significant	decrease	Intact
AT3G45050.3	-0.125372791427103	0.0303606627826478	-4.12944843545241	3.63634543676383e-05	xrn4_dne1 - xrn4	0.00920813573224522	Seedling	0.882806597397972	0.87056686419373	0.012239733204242	significant	decrease	Intact
AT3G59800.1	-0.567027615224271	0.13319303686009	-4.25718662620399	2.07015538316035e-05	xrn4_dne1 - xrn4	0.00616723643412683	Seedling	0.815735256726642	0.713012707457152	0.10272254926949	significant	decrease	Intact
AT4G01710.1	-0.521933073477198	0.130181059501293	-4.00928580145728	6.09026690054915e-05	xrn4_dne1 - xrn4	0.0143461194036424	Seedling	0.953720908658966	0.926167043492069	0.0275538651668967	significant	decrease	Intact
AT4G08520.1	0.409702841046276	0.0735519894713671	5.5702482555658	2.54376619768237e-08	xrn4_dne1 - xrn4	1.85518448824196e-05	Seedling	0.890145082515852	0.923677477612746	0.0335323950968941	significant	increase	Intact
AT4G09140.1	-0.9983480010092	0.214327643975576	-4.65804588941858	3.19225063205586e-06	xrn4_dne1 - xrn4	0.00125397880444838	Seedling	0.18853021978022	0.0798655798655799	0.10866463991464	significant	decrease	Intact
AT4G13180.1	0.281097193825065	0.0683676790027634	4.11155092472429	3.93010164250196e-05	xrn4_dne1 - xrn4	0.00952113297646369	Seedling	0.839375123758875	0.873716787439614	0.0343416636807383	significant	increase	Intact
AT4G13220.1	-0.471482192795486	0.106122945384122	-4.44279218871008	8.87989227371655e-06	xrn4_dne1 - xrn4	0.00281076340126484	Seedling	0.101924456522784	0.0667892142974251	0.0351352422253593	significant	decrease	Intact
AT4G18230.1	-0.715482288156684	0.0988249184826605	-7.23989757990258	4.48974191158413e-13	xrn4_dne1 - xrn4	1.13691489556089e-09	Seedling	0.845205535205535	0.723144564843481	0.122060970362054	significant	decrease	Intact
AT4G22980.1	0.406353858271753	0.110013851084693	3.69366088238223	0.000221048548445957	xrn4_dne1 - xrn4	0.0414629768001685	Seedling	0.145808575955635	0.197699824330259	0.0518912483746244	significant	increase	Intact
AT4G23710.1	-0.482683768310591	0.10366165289743	-4.65633872139962	3.21882208664803e-06	xrn4_dne1 - xrn4	0.00125397880444838	Seedling	0.94481105162158	0.916314324116744	0.0284967275048369	significant	decrease	Intact
AT4G33625.3	-0.388615948408449	0.102678696921686	-3.78477678485589	0.000153846600057239	xrn4_dne1 - xrn4	0.0305551414113681	Seedling	0.883198642811751	0.834789665256026	0.0484089775557252	significant	decrease	Intact
AT4G38060.1	0.475822050192515	0.0854434185022116	5.56885548979058	2.56418035693429e-08	xrn4_dne1 - xrn4	1.85518448824196e-05	Seedling	0.691411673783763	0.779534776204453	0.0881231024206907	significant	increase	Intact
AT5G06050.1	-0.487215098870449	0.124004179841919	-3.92902158210758	8.52921852632083e-05	xrn4_dne1 - xrn4	0.0179984280110633	Seedling	0.483715277777778	0.390394912985274	0.0933203647925033	significant	decrease	Intact
AT5G08040.1	-1.05510304021093	0.25044920572692	-4.21284242906072	2.52176990827024e-05	xrn4_dne1 - xrn4	0.0070952798335748	Seedling	0.980635068902217	0.950553745578924	0.0300813233232933	significant	decrease	Intact
AT5G09380.2	0.469818594194559	0.111946821702626	4.19680154424195	2.70710949272779e-05	xrn4_dne1 - xrn4	0.00710109419300998	Seedling	0.781578460525829	0.852257154984235	0.0706786944584057	significant	increase	Intact
AT5G11810.1	-0.453928251719298	0.0701855109249324	-6.46754929524986	9.96049909218755e-11	xrn4_dne1 - xrn4	1.68149825507946e-07	Seedling	0.794883914736253	0.713854298240797	0.081029616495456	significant	decrease	Intact
AT5G16140.1	0.388762372202516	0.0850781645244148	4.5694729590805	4.88952245070173e-06	xrn4_dne1 - xrn4	0.00176878474654135	Seedling	0.82159547085079	0.869985368211198	0.0483898973604081	significant	increase	Intact
AT5G20110.1	-0.763094072094774	0.132763095153492	-5.74778760025544	9.04187191785866e-09	xrn4_dne1 - xrn4	1.01761245173323e-05	Seedling	0.792832167832168	0.650872335878456	0.141959831953712	significant	decrease	Intact
AT5G23420.1	-0.298355337168228	0.0594739779079016	-5.01656939157906	5.26022830626971e-07	xrn4_dne1 - xrn4	0.000280425539548452	Seedling	0.825703618153513	0.776480903818696	0.0492227143348171	significant	decrease	Intact
AT5G40190.1	-0.974525019353836	0.212285389340118	-4.59063632397461	4.41896722236379e-06	xrn4_dne1 - xrn4	0.00165776737019714	Seedling	0.944370546094684	0.859451369403075	0.0849191766916093	significant	decrease	Intact
AT5G43450.1	0.543768451629445	0.149442763447804	3.63864023311753	0.000274081370524204	xrn4_dne1 - xrn4	0.0487047403866607	Seedling	0.632240806464787	0.751974587912088	0.119733781447301	significant	increase	Intact
AT5G48990.1	0.810198516978575	0.182055515239382	4.45028273882973	8.57573113455246e-06	xrn4_dne1 - xrn4	0.00280205098909296	Seedling	0.715312464031445	0.845678295380431	0.130365831348986	significant	increase	Intact
AT5G56450.1	0.626079590981168	0.100489012165552	6.23032884381157	4.65457006271208e-10	xrn4_dne1 - xrn4	6.73516288074438e-07	Seedling	0.677644926141524	0.796490546490547	0.118845620349023	significant	increase	Intact
AT5G57815.1	-0.452186446033219	0.105468321814506	-4.28741482042834	1.80764538149081e-05	xrn4_dne1 - xrn4	0.00554837577852133	Seedling	0.968823279488474	0.951175201821208	0.0176480776672656	significant	decrease	Intact
AT5G66170.3	0.714187727746373	0.126092839701942	5.66398321613318	1.47898879809816e-08	xrn4_dne1 - xrn4	1.49806775359362e-05	Seedling	0.923850134454161	0.960423475935098	0.0365733414809368	significant	increase	Intact
AT5G67170.1	0.61297377810429	0.127611155177469	4.80344980226712	1.5595500073573e-06	xrn4_dne1 - xrn4	0.000686812261935744	Seedling	0.619643857543017	0.752859321387724	0.133215463844707	significant	increase	Intact
